Year,Arroyo_Seco_Reconstruction_Flow_TAF,Arroyo_Seco_Lower_50Percent_Flow_TAF,Arroyo_Seco_Flow_Upper_50Percent_Flow_TAF,SanGab_Reconstruction_Precip_inches,SanGab_Flow_Lower_50Percent_Precip_inches,SanGab_Flow_Upper_50Percent_Precip_inches,SantaAna_Reconstruction_Flow_TAF,SantaAna_Lower_50Percent_Flow_TAF,SantaAna_Upper_50Percent_Flow_TAF,LakeArrow_Reconstruction_Precip_inches,LakeArrow_Lower_50Percent_Precip_inches,LakeArrow_Upper_50Percent_Precip_inches,Ojai_Reconstruction_Precip_inches,Ojai_Lower_50Percent_Precip_inches,Ojai_Upper_50Percent_Precip_inches,Cuyam_Reconstruction_Precip_inches,Cuyam_Lower_50Percent_Precip_inches,Cuyam_Upper_50Percent_Precip_inches,Kern_Reconstruction_Flow_TAF,Kern_Lower_50Percent_Flow_TAF,Kern_Upper_50Percent_Flow_TAF,Colo_Reconstruction_Flow_TAF,Colo_Lower_50Percent_Confidence_Flow_TAF,Colo_Upper_50Percent_Confidence_Flow_TAF
1215,2.642,1.436,5.483,19.81,15.17,27.13,24.713,16.710,35.928,27.88,21.53,37.63,13.76,10.63,17.47,23.83,18.05,29.01,357.429,265.240,546.478,13211.122,10955.670,15578.317
1216,8.079,4.107,16.152,32.78,24.56,41.51,50.955,32.736,81.836,48.22,35.71,62.23,24.97,19.10,32.24,38.39,30.63,48.09,765.994,583.625,994.688,10753.484,8673.364,13084.210
1217,2.398,1.524,4.389,14.52,10.88,21.15,19.064,13.481,25.890,20.90,15.98,27.80,11.99,9.42,15.01,20.42,15.12,24.62,260.792,195.135,438.671,10139.846,8110.021,12457.532
1218,2.429,1.514,4.529,19.91,15.24,27.24,19.658,13.821,26.940,30.36,23.53,41.05,13.42,10.41,17.00,21.25,15.83,25.61,278.269,207.697,458.213,11900.097,9734.059,14252.473
1219,5.911,2.824,12.607,29.95,23.15,38.46,38.848,24.243,62.679,46.12,34.18,60.09,22.85,17.31,29.60,35.75,28.47,44.91,622.702,469.143,839.133,17601.690,14958.794,20173.216
1220,13.950,6.025,25.100,41.56,28.42,51.39,106.495,77.407,150.769,61.11,45.02,75.44,30.75,23.30,39.72,42.69,33.99,53.36,1071.330,834.234,1354.543,17810.913,15146.206,20374.794
1221,2.777,1.378,6.095,16.57,12.74,23.48,26.559,17.761,39.239,22.62,17.37,30.22,13.51,10.47,17.13,23.90,18.12,29.11,362.039,268.626,551.605,16275.494,13803.839,18765.280
1222,5.095,2.363,11.234,27.82,21.63,36.24,39.870,24.926,64.371,38.82,29.56,52.66,18.40,13.97,23.59,30.33,23.69,37.80,600.802,451.713,815.114,16740.742,14202.676,19272.660
1223,5.050,2.338,11.156,25.65,19.75,33.97,43.803,27.543,70.885,34.87,26.77,47.83,17.08,13.04,21.81,30.38,23.73,37.86,639.044,481.985,857.128,15253.432,12872.414,17675.552
1224,3.997,1.714,9.305,24.00,18.40,31.92,35.354,21.904,56.913,34.03,26.35,46.34,16.16,12.37,20.65,26.96,20.75,33.19,537.352,401.607,745.395,13202.741,10948.050,15569.810
1225,2.958,1.342,6.794,23.71,18.31,31.47,29.900,19.185,46.175,32.21,25.04,43.58,15.68,12.00,20.03,27.94,21.60,34.53,439.911,326.671,637.906,12226.469,10040.787,14582.455
1226,2.504,1.489,4.862,20.60,15.80,28.00,24.458,16.565,35.472,27.31,21.09,36.83,13.33,10.35,16.88,23.70,17.95,28.85,354.845,263.345,543.603,17230.587,14629.514,19796.898
1227,2.078,1.610,3.358,14.59,10.95,21.24,14.042,9.892,19.818,21.89,16.78,29.18,11.73,9.23,14.65,17.08,12.20,21.27,197.766,141.292,372.585,10663.625,8590.870,12992.440
1228,3.075,1.321,7.236,24.46,18.61,32.64,28.431,18.826,42.613,37.94,28.91,51.74,17.10,13.06,21.84,29.10,22.61,36.10,410.532,304.519,605.430,17042.344,14463.023,19597.829
1229,7.054,3.463,14.476,32.58,24.46,41.28,50.276,32.191,80.898,45.80,33.97,59.76,22.51,17.01,29.17,36.34,28.98,45.63,719.508,546.518,945.420,16684.393,14154.363,19211.305
1230,2.244,1.569,3.710,14.80,11.16,21.47,18.819,13.340,25.457,19.45,14.81,25.76,11.49,9.06,14.31,21.89,16.39,26.45,258.562,193.533,436.177,13920.901,11611.201,16299.363
1231,3.706,1.531,8.793,25.32,19.41,33.61,30.902,19.418,48.645,41.81,31.46,55.70,19.17,14.47,24.70,31.89,25.06,39.92,486.633,362.227,689.530,16347.166,13865.556,18843.444
1232,8.102,4.122,16.189,31.38,23.87,39.97,50.045,32.006,80.580,45.36,33.68,59.32,22.46,16.97,29.10,35.59,28.33,44.71,696.367,527.526,920.183,16299.828,13824.793,18791.818
