Year ,KLK_Reconstruction_Flow_AF,KLK_Lower_50_Percent_Flow_AF,KLK_Upper_50_Percent_Flow_AF,TRN_Reconstruction_Flow_AF,TRN_Lower_50_Percent_Flow_AF,TRN_Upper_50_Percent_Flow_AF,KFL_Reconstruction_Precip_Inches,KFL_Lower_50_Percent_Precip_Inches,KFL_Upper_50_Percent_Precip_Inches,KFS_Reconstruction_Precip_Inches,KFS_Lower_50_Percent_Precip_Inches,KFS_Upper_50_Percent_Precip_Inches,WEA_Reconstruction_Precip_Inches,WEA_Lower_50_Percent_Precip_Inches,WEA_Upper_50_Percent_Precip_Inches,YRK_Reconstruction_Precip_Inches,YRK_Lower_50_Percent_Precip_Inches,YRK_Upper_50_Percent_Precip_Inches,FTO_Reconstruction_Flow_AF,FTO_Lower_50_Percent_Flow_AF,FTO_Upper_50_Percent_Flow_AF,YRS_Reconstruction_Flow_AF,YRS_Lower_50_Percent_Flow_AF,YRS_Upper_50_Percent_Flow_AF,AMF_Reconstruction_Flow_AF,AMF_Lower_50_Percent_Flow_AF,AMF_Upper_50_Percent_Flow_AF,SBB_Reconstruction_Flow_AF,SBB_Lower_50_Percent_Flow_AF,SBB_Upper_50_Percent_Flow_AF,SAC4_Reconstruction_Flow_AF,SAC4_Lower_50_Percent_Flow_AF,SAC4_Upper_50_Percent_Flow_AF,SNS_Reconstruction_Flow_AF,SNS_Lower_50_Percent_Flow_AF,SNS_Upper_50_Percent_Flow_AF,TLG_Reconstruction_Flow_AF,TLG_Lower_50_Percent_Flow_AF,TLG_Upper_50_Percent_Flow_AF,MRC_Reconstruction_Flow_AF,MRC_Lower_50_Percent_Flow_AF,MRC_Upper_50_Percent_Flow_AF,SJF_Reconstruction_Flow_AF,SJF_Lower_50_Percent_Flow_AF,SJF_Upper_50_Percent_Flow_AF,SJQ4_Reconstruction_Flow_AF,SJQ4_Lower_50_Percent_Flow_AF,SJQ4_Upper_50_Percent_Flow_AF
932,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3142400,2313100,4035000,1635600,1152900,2072900,1781600,1226800,2310000,6524800,5212100,8212000,13097000,9911700,16100000,775470,541570,983740,1322900,974590,1648800,661490,457430,867000,1241000,910890,1608800,3982200,2878300,5068000
933,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2590600,1983800,2639600,1365000,982090,1725500,1453300,1037400,1856700,5588300,4597200,6754400,10899000,8538800,10977000,626430,450380,784660,1086900,807950,1333500,537460,376050,694960,955980,729910,1214800,3253600,2394800,4058500
934,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4977100,3660500,6457300,2816400,2072000,3443200,3290900,2436800,4230700,8913400,7092300,11375000,19835000,15050000,24837000,1412700,1070800,1851900,2302000,1797800,2936400,1258400,945370,1660500,2334400,1756100,2959700,7212700,5552100,9315100
935,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4558000,3325900,5963100,2498400,1798300,3105200,2821300,2009100,3670400,8605500,6816600,11019000,18264000,13720000,22892000,1177700,844870,1538000,1892800,1423900,2435000,977900,694810,1315200,1818300,1336300,2398300,5826900,4295700,7622600
936,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3343900,2437500,4343800,1671700,1177300,2117900,1808100,1243600,2345600,6786900,5389200,8616200,13837000,10385000,17190000,775690,541720,984030,1307100,962740,1628100,645140,446020,844890,1205600,886200,1562100,3940200,2848400,5011200
937,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5476000,4146900,7019900,2987200,2265600,3612800,3593500,2744700,4519600,9693500,7816500,12312000,21675000,16933000,27032000,1583300,1251400,2047600,2551200,2049500,3198100,1421100,1107800,1831800,2583500,1971400,3211800,8067200,6364200,10156000
938,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2970500,2208800,3772200,1499600,1061200,1902900,1628300,1130500,2104700,6313200,5070400,7885200,12452000,9503600,15150000,717070,502260,908330,1231300,905990,1530100,613020,423690,801550,1173000,863420,1519000,3700700,2678100,4690600
939,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3713500,2675800,4887200,2033000,1444600,2589400,2279300,1567800,3012500,7400900,5734800,9290200,15347000,11483000,19537000,989830,690270,1274600,1658500,1230600,2110500,855230,596130,1143000,1577600,1150900,2076300,5036500,3642100,6538000
940,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5255000,3941600,6708500,2862700,2177300,3494500,3364700,2544100,4257200,9695400,7717500,12057000,20879000,16213000,26176000,1207000,870990,1578800,1960500,1480400,2528100,1031400,738360,1389200,1907000,1402500,2511600,6058000,4488100,7938400
941,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5437500,4121500,6885700,2917200,2232400,3546500,3413700,2593600,4306900,9966800,7957300,12370000,21525000,16853000,26877000,1250200,907750,1638800,1993700,1508000,2573700,1037500,743340,1397700,1948400,1432200,2560300,6171300,4583600,8093200
